nace_r2_code,nace_r2_name,year,valVA_Q,valVA_CP,valCOMP,valH_EMP,valEMPE,valEMP,valKq_GFCF,total_hours,valueLAB_QI,valueCAP_QI,valueLP1_G,valueLP1ConLC,valueLP2_G,valueLP2ConLC,valueLAB,valueCAP
G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,1995,42601.8941611734,21712,7522,170269,70.74,88.58,30011.8531594388,213209.33022335314,63.4184837341309,29.3068370819092,,,,,10077.0546875,11634.9453125
G46,"Wholesale trade, except of motor vehicles and motorcycles",1995,63121.8097816129,69209,34458,415689,198.25,227.41,168211.747811062,476831.4526607818,75.578727722168,54.4286041259766,,,,,41499.16796875,27709.83203125
G47,"Retail trade, except of motor vehicles and motorcycles",1995,56901.6411846935,61246,27598,728914,270.23,374.73,175796.267940573,1010790.5977130593,111.891159057617,62.2844924926758,,,,,41893.109375,19352.890625
H,Transportation and storage,1995,276526.659726595,99381,37866,587044,310.38,335.58,843678.837372697,634706.5710419485,86.057861328125,44.311450958252,,,,,42478.35546875,56902.64453125
H49,Land transport and transport via pipelines,1995,207636.125702671,63247,27190,456606,229.9,253.53,168576.743668831,503537.70848194865,92.5956420898438,29.5887470245361,,,,,31287.783203125,31959.216796875
H50,Water transport,1995,8919.21975480013,977,486,6085,3.3,3.38,6535.95263278062,6232.515151515151,,,,,,,,
H51,Air transport,1995,178535.50800947,3422,995,5182,3.16,3.16,4878.51129297911,5182.0,,,,,,,,
H52,Warehousing and support activities for transportation,1995,58928.2260523593,23051,3405,40977,22.32,23.69,683191.273703784,43492.165322580644,61.5730438232422,57.6599006652832,,,,,3718.03515625,19332.96484375
H53,Postal and courier activities,1995,17801.3257596365,8684,5790,78194,51.7,51.82,7882.17852985165,78375.49477756285,109.430252075195,41.2801856994629,,,,,5811.10595703125,2872.89404296875
I,Accommodation and food service activities,1995,216231.32769264,48920,11622,328528,128.64,157.13,114625.105734093,401287.3495024876,86.0889205932617,67.1574935913086,,,,,15547.109375,33372.890625
J,Information and communication,1995,80351.4614536487,43708,15948,144209,68.72,78.32,142508.731424359,164354.6111757858,61.8599395751953,32.4666786193848,,,,,19165.056640625,24542.943359375
J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",1995,24845.2302985339,10272,4765,49042,23.8,26.53,48906.3786656929,54667.40588235294,99.4177093505859,68.3165588378906,,,,,5530.4853515625,4741.5146484375
J61,Telecommunications,1995,20926.3284701132,21577,6012,39635,23.03,23.11,79207.5164374647,39772.68128528007,112.952651977539,30.2124691009521,,,,,6044.4833984375,15532.5166015625
J62-J63,"Computer programming, consultancy, and information service activities",1995,37808.2439484124,11859,5171,55532,21.89,28.68,15647.2025013943,72757.32115121059,47.5205879211426,15.7077960968018,,,,,7492.45849609375,4366.54150390625
K,Financial and insurance activities,1995,65151.5984559005,49071,19235,122626,61.66,70.97,164362.499707173,141141.21342847878,70.4161682128906,69.4727478027344,,,,,22451.0859375,26619.9140625
L,Real estate activities,1995,477518.670391812,90924,4480,110873,43.07,56.29,3976044.498517,144904.6011144648,65.3639602661133,51.1151390075684,,,,,6748.2421875,84175.7578125
L68A,Imputed rents of owner-occupied dwellings,1995,57887.0,57887,0,0,0.0,0.0,,,,,,,,,,
M,"Professional, scientific and technical activities",1995,167090.160276083,66787,26529,393554,169.95,224.82,255706.895304692,520616.71244483674,59.781810760498,71.7513198852539,,,,,36893.73046875,29893.26953125
M-N,"Professional, scientific and technical activities; administrative and support service activities",1995,230283.49190157,95647,38684,613700,275.65,348.95,305392.310828312,776893.2160348268,62.786808013916,59.8116912841797,,,,,51084.8828125,44562.1171875
MARKT,"Market economy (all industries excluding L, O, P, Q, T and U)",1995,1936323.1733875,1154924,495380,7639194,3580.49,4145.16,4600642.13601357,8843951.917486154,90.0864944458008,52.1258926391602,,,,,603319.3125,551604.6875
MARKTxAG,Non-agricultural market economy (Market economy less industry A),1995,1849989.84297115,1090536,466865,7107755,3346.51,3875.16,4326732.06739212,8230570.912921222,89.4840393066406,51.7620506286621,,,,,568185.25,522350.75
N,Administrative and support service activities,1995,63882.1609737742,28860,12155,220146,105.7,124.13,53732.1061162182,258530.96480605484,68.3765487670898,34.7843017578125,,,,,14724.208984375,14135.791015625
O,Public administration and defence; compulsory social security,1995,295435.845741261,99214,59195,599906,345.39,345.39,2007528.93760753,599906.0,95.7757949829102,85.2760391235352,,,,,59195.0,40019.0
O-Q,"Public administration, defence, education, human health and social work activities",1995,800622.577792675,215440,129980,1596856,877.9,901.84,3423055.16789076,1640401.657409728,86.794677734375,86.105842590332,,,,,134780.8125,80659.1875
P,Education,1995,242025.861444861,62876,38777,471279,268.71,273.76,1094904.35303569,480135.9794574076,89.3632202148438,105.290740966797,,,,,39477.54296875,23398.45703125
Q,Human health and social work activities,1995,275470.405543414,53350,32008,525671,263.81,282.68,299931.07626201,563271.5904628332,80.5934371948242,62.1557693481445,,,,,35262.5,18087.5
Q86,Human health activities,1995,245575.592142955,47014,28606,468980,234.29,251.1,137022.215171825,502628.69947500963,94.3125839233398,48.9070129394531,,,,,31395.71875,15618.28125
Q87-Q88,Residential care activities and social work activities without accommodation,1995,30388.6254555079,6336,3402,56691,29.52,31.58,179846.379220751,60647.079268292684,36.5774307250977,94.84375,,,,,3869.09497070312,2466.90502929688
R,"Arts, entertainment and recreation",1995,39176.6886378367,14616,6011,92660,47.66,52.5,114553.840792741,102069.8699118758,67.9532623291016,47.7546463012695,,,,,6822.966796875,7793.033203125
R-S,"Arts, entertainment, recreation; other services and service activities, etc.",1995,123173.670527345,37369,11184,231526,90.72,124.91,192795.645361323,318782.10604056437,71.1676025390625,60.870719909668,,,,,16605.552734375,20763.447265625
S,Other service activities,1995,98119.4929765107,22753,5173,138866,43.06,72.41,79067.5255966431,233518.0459823502,75.662239074707,87.2881469726562,,,,,9668.0283203125,13084.9716796875
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1995,731.315984720743,342,240,3798,2.29,2.29,,3798.0,,,,,,,240.0,102.0
TOT,Total - all NACE activities,1995,3036289.07264163,1461630,630080,9350721,4503.76,5105.57,11963439.8576076,10600200.857943138,89.4104919433594,55.7411956787109,,,,,746744.125,714885.875
TOT_IND,Total industries (A-S),1995,3035584.58414669,1461288,629840,9346923,4501.47,5103.28,11963439.8576076,10596530.734946584,88.5070190429688,55.6825218200684,,,,,746515.875,714772.125
U,Activities of extraterritorial organisations and bodies,1995,,0,0,0,0.0,0.0,,,,,,,,,,
A,"Agriculture, forestry and fishing",1996,94577.6841715986,71212,32698,527495,232.28,268.29,293825.59295102,609271.713234028,181.647705078125,70.6166610717773,-2.06330966949463,-1.6888644695282,-2.17286586761475,-1.6888644695282,40327.02734375,30884.97265625
B,Mining and quarrying,1996,87846.6320908242,32495,18809,137436,85.2,85.22,129550.437119383,137468.261971831,243.382049560547,88.2605819702148,-0.483202934265137,-1.2258837223053,-1.6752142906189,-1.2258837223053,18817.625,13677.375
